"Energy","Water","Protein","Fats","Sugars","Starch","Alcohol","Fibre","Group"
"Advocaat liqueur",236,53.7,4.3,3.2,23.6,0,13.6,0,"Alcoholic beverages"
"Gin Dutch red currant flavoured",184,65,0,0,18,0,16,0,"Alcoholic beverages"
"Beer old brown",38,93.4,0.5,0,3.6,1.9,2,0.2,"Alcoholic beverages"
"Beer pilsner",44,92,0.4,0,0,2.8,4.3,0.3,"Alcoholic beverages"
"Brandy",231,65,0,0,0,0,33,0,"Alcoholic beverages"
"Campari",180,70,0,0,10,0,20,0,"Alcoholic beverages"
"Gin Dutch lemon flavoured",180,73,0,0,3,0,24,0,"Alcoholic beverages"
"Cognac",228,67,0,0,1,0,32,0,"Alcoholic beverages"
"Gin young Dutch",196,72,0,0,0,0,28,0,"Alcoholic beverages"
"Gin old Dutch",200,71,0,0,1,0,28,0,"Alcoholic beverages"
"Liqueur 15-25 vol% alcohol",242,53,0,0,29,0,18,0,"Alcoholic beverages"
"Muscatel",162,71,0,0,13.7,0,15.3,0,"Alcoholic beverages"
"Port wine",156,72.2,0,0,13,0,14.8,0,"Alcoholic beverages"
"Rum",234,66.6,0,0,0,0,33.4,0,"Alcoholic beverages"
"Sherry",111,82.8,0,0,3.2,0,14,0,"Alcoholic beverages"
"Vermouth",150,71.5,0,0,16.5,0,12,0,"Alcoholic beverages"
"Brandy Dutch vieux",200,71,0,0,1,0,28,0,"Alcoholic beverages"
"Whisky",245,65,0,0,0,0,35,0,"Alcoholic beverages"
"Wine red",82,88.4,0,0,3,0,10,0,"Alcoholic beverages"
"Wine white dry",67,86.1,0.1,0,0.6,0,9.1,0,"Alcoholic beverages"
"Jagermeister herb liquor",294,50,0,0,14,0,34,0,"Alcoholic beverages"
"Madeira",166,70,0,0,10,0,18,0,"Alcoholic beverages"
"Wine medicinal pleegzusterbloedwijn",154,72,0,0,14,0,14,0,"Alcoholic beverages"
"Berenburg herb liquor",189,68,0,0,0,0,27,0,"Alcoholic beverages"
"Liqueur <15 vol% alcohol",200,59,0,0,29,0,12,0,"Alcoholic beverages"
"Liqueur >25 vol% alcohol",291,46,0,0,29,0,25,0,"Alcoholic beverages"
"Beer >7 vol% alcohol",64,88.6,0.5,0,0.1,4,6.3,0.3,"Alcoholic beverages"
"Beer low alcohol 0,1-1,2 vol%",22,94.6,0.3,0,0.9,3.6,0.4,0.3,"Alcoholic beverages"
"Wine white sweet",96,80.6,0.2,0,5.9,0,10.2,0,"Alcoholic beverages"
"Breezer",74,85.1,0,0,9.8,0,5,0,"Alcoholic beverages"
"Fruit dried in brandy",201,57.7,0.6,0.1,26.8,0.4,12.2,1.3,"Alcoholic beverages"
"Cider",55,87.5,0.1,0,6,0.4,4.1,0,"Alcoholic beverages"
"Wine rose",71,87.3,0.1,0,2.5,0,8.7,0,"Alcoholic beverages"
"Liqueur w cream 15-25 vol% alcohol",294,50.3,2.7,11.8,18.2,4.5,12.3,0,"Alcoholic beverages"
"Beer w fruit flavour",52,89.3,0.3,0,2.4,3.5,3.6,0.5,"Alcoholic beverages"
"Shandy",42,92,0,0,9.7,0,0.5,0,"Alcoholic beverages"
"Beer white",47,91.3,0.5,0,0,3.6,4.2,0.3,"Alcoholic beverages"
"Vodka",234,66.6,0,0,0,0,33.4,0,"Alcoholic beverages"
"Beer w fruitjuice Radler",39,91.1,0.4,0,5.7,0.7,1.6,0.1,"Alcoholic beverages"
"Beer bock",61,84.8,0.6,0,1.2,3.9,5.3,0.3,"Alcoholic beverages"
"Irish coffee",166,75.1,0.7,8.7,6.7,0,8.3,0,"Alcoholic beverages"
"Cheese Swiss dried",228,35,55,0.7,0,0,0,0,"Cheese"
"Cheese Edam 40+",324,41.8,25.5,24.3,0,0,0,0,"Cheese"
"Cheese Gouda 48+ av",369,39.3,22.9,30.5,0,0,0,0,"Cheese"
"Cheese 20+ Leidse w cumin/Fries clove",240,46,33.1,11.9,0,0,0,0,"Cheese"
"Cheese spread 48+ full fat",260,55.5,13.4,21.7,2.1,0.1,0,0.5,"Cheese"
"Cheese spread 40+",227,60,16,17,2,0,0,0,"Cheese"
"Cheese spread 20+",137,74.3,17.2,6.8,1.7,0,0,0,"Cheese"
"Cheese Camembert 45+",306,53.4,25,22.8,0,0,0,0,"Cheese"
"Cheese Brie 50+",318,52.6,23,25.1,0,0,0,0,"Cheese"
"Cheese cottage",92,79.9,11.2,3.9,2.3,0,0,0,"Cheese"
"Cheese Roquefort",357,42,19,31,0,0,0,0,"Cheese"
"Cheese Saint Paulin/Port Salut",341,49.7,21.5,28.2,0,0,0,0,"Cheese"
"Cheese Parmesan",404,26,40,27,0,0,0,0,"Cheese"
"Cheese cream soft Mon Chou",316,57,6.8,31,2.4,0,0,0,"Cheese"
"Cheese Limburger",283,52,21,21,2,0,0,0,"Cheese"
"Cheese Gruyere",433,32,29,34.5,1.4,0,0,0,"Cheese"
"Cheese Emmenthaler",387,36,29,30,0,0,0,0,"Cheese"
"Cheese Cheddar",415,36,25.5,34.4,0.1,0,0,0,"Cheese"
"Cheese Bluefort",405,40,17.9,37,0,0,0,0,"Cheese"
"Cheese cream soft Boursin",411,43.9,7.5,41,3,0,0,0,"Cheese"
"Cheese sheep fresh",238,58.6,17,18.8,0,0,0,0,"Cheese"
"Cheese Kernhem 60+",443,37.6,18.6,40.6,0,0,0,0,"Cheese"
"Cheese Old Amsterdam 48+",382,40,24.2,31.4,0,0,0,0,"Cheese"
"Cheese 20+ low sodium",264,46.3,36.7,13,0,0,0,0,"Cheese"
"Cheese 40+ low sodium",339,42.7,29.4,24.6,0,0,0,0,"Cheese"
"Cheese smoked 45+",331,48.5,21.2,26.2,1,0.8,0,0.1,"Cheese"
"Cheese Rambol",291,51.9,13.6,25,2.1,0.2,0,0.7,"Cheese"
"Cheese spread 60+ Kiri",330,56,8.5,32,2,0,0,0,"Cheese"
"Cheese Stilton",388,42.2,21.3,33.4,0.1,0,0,0,"Cheese"
"Cheese Camembert 30+",223,58,24,14,0,0,0,0,"Cheese"
"Cheese raw milk 48+",392,36.5,26,32,0,0,0,0,"Cheese"
"Cheese 48+ low sodium",381,39.7,26.1,30.7,0,0,0,0,"Cheese"
"Cheese cream soft Paturain",354,51.6,7,35.3,2.3,0,0,0,"Cheese"
"Cheese 30+ av",289,45.2,30.4,18.5,0,0,0,0,"Cheese"
"Cheese Brie 60+",369,46.1,17,33,1,0,0,0,"Cheese"
"Cheese fresh light 8% fat",132,77.8,11.3,8.5,2.5,0,0,0,"Cheese"
"Cheese goat fresh",207,65.2,13.4,16.6,1,0,0,0,"Cheese"
"Cheese 20+",246,48.1,34.5,12,0,0,0,0,"Cheese"
"Cheese 50+",380,40.1,22.9,32.1,0,0,0,0,"Cheese"
"Cheese Dutch in Swiss-style 45+",370,38.7,27.6,28.5,0,0,0,0,"Cheese"
"Cheese 40+ Leiden w cumin/Fries clove",341,39,27.3,25.7,0,0,0,0,"Cheese"
"Cheese 45+",357,42,25.4,27.3,0,0,0,0,"Cheese"
"Cheese Bel Paese",374,38.9,25.4,30.2,0.1,0,0,0,"Cheese"
"Cheese Gorgonzola",359,42.4,19.4,31.2,0.1,0,0,0,"Cheese"
"Cheese Mozzarella made from cow's milk",253,58.8,18.7,19.5,0.7,0,0,0,"Cheese"
"Cheese 10+",187,61.2,32.2,6.4,0.2,0,0,0,"Cheese"
"Cheese spread 15+ Eru Balans",132,70,17.3,5.5,3,0.3,0,0,"Cheese"
"Cheese spread ERU kids",169,71.6,15,11.1,2.3,0,0,0,"Cheese"
"Cheese goat hard",396,38.3,22.4,32.5,0.1,0,0,0,"Cheese"
"Dairy spread plain/herbs",248,67.5,5.1,23.9,3.1,0,0,0.1,"Cheese"
"Dairy spread plain/herbs light",175,73.2,8.1,13.8,3.5,0.7,0,0.3,"Cheese"
"Cheese Gouda 48+ age 4-8 weeks",364,41.5,22.8,29.6,0,0,0,0,"Cheese"
"Cheese Gouda 48+ age 8 wk-4 mths",370,40.6,22.7,29.9,0,0,0,0,"Cheese"
"Cheese Gouda 48+ age 4-7 mths",377,38.5,22.5,30.8,0,0,0,0,"Cheese"
"Cheese Gouda 48+ age 10-12 mths",414,31.8,24.6,33.7,0.1,0,0,0,"Cheese"
"Mascarpone cheese",455,44.4,7.6,47,0.3,0,0,0,"Cheese"
"Cheese spread 45+",231,59,14.3,18.9,1,0,0,0,"Cheese"
"Cheese Turkish 60+ cow's milk canned",287,57,12.7,26,0.4,0,0,0,"Cheese"
"Cheese sheep/goat Turkish 50+ canned",297,54,15.5,26.1,0.1,0,0,0,"Cheese"
"Cheese 30+ age 4-8 weeks",280,45.9,30.1,17.7,0,0,0,0,"Cheese"
"Cheese 30+ age 8 wk-4 mths",278,44.8,29.3,17.9,0,0,0,0,"Cheese"
"Cheese 30+ age 4-7 mths",306,46.7,31.9,19.8,0,0,0,0,"Cheese"
"Cheese 30+ age 10-12 mths",307,41.3,31.7,20,0,0,0,0,"Cheese"
"Cheeseproduct w veg fat Kees jong belegen",387,36,29,30.1,0,0,0,0,"Cheese"
"Cheeseprod w veg fat Kees oud",403,33,31,31,0,0,0,0,"Cheese"
"Cheesespread Heks'n kaas",356,53.5,1.9,34.3,7.8,1.9,0,0.4,"Cheese"
"Cheese Feta",274,60.1,16.6,22.8,0.6,0,0,0,"Cheese"
"Cheese cream w herbs 25-30 g fat",291,62.8,5.3,28.4,3.2,0.2,0,0,"Cheese"
"Cheese white 45+ feta-like from cow's milk",247,62.7,17.1,19.6,0.6,0,0,0,"Cheese"
"Cheese Ricotta",141,77.8,8,10.3,3.5,0.4,0,0,"Cheese"
"Cheese Danish Blue",352,44.7,20.5,29.5,0,0,0,0,"Cheese"
"Corned beef",208,60.1,24.3,11.9,0.9,0,0,0," Meat"
"Ham smoked raw",188,58.6,24.6,9.5,0.3,0.9,0,0," Meat"
"Liver ox boiled (processed meat product)",133,71,20,5,0,2,0,0," Meat"
"Liver pork boiled (processed meat product)",132,68.1,19.8,4.1,4,0,0,0," Meat"
"Liver pate",318,53.5,14.2,28.3,0.1,1.6,0,0," Meat"
"Luncheon meat tinned",279,54.4,12.9,23.8,0,3.3,0,0.2," Meat"
"Beef salted cooked",184,66.6,17.3,12.7,0.1,0,0,0," Meat"
"Beef smoke-dried",108,69.9,22,2,0.5,0,0,0," Meat"
"Processed meat products av",236,59.8,16.2,17.7,0.8,1.8,0,0.3," Meat"
"Sausage luncheon meat",306,53.2,11.6,26.9,0.7,2.8,0,0.2," Meat"
"Salami sausage saveloy",375,41.7,17.8,33,0.6,0.7,0,0.7," Meat"
"Bacon rasher streaky",312,50.3,15.7,27.5,0.5,0,0,0," Meat"
"Liver sausage",294,54.2,14.5,25.3,0.1,1.7,0,0.5," Meat"
"Bacon",188,63.7,18.5,12.4,0.3,0.2,0,0," Meat"
"Pate",360,48.2,9.6,33,1.7,4,0,1.1," Meat"
"Pork side cured and smoked",130,71.3,18.3,5.1,2.8,0,0,0," Meat"
"Sausage spiced and smoked",329,54,12,31,0.5,0,0,0," Meat"
"Sausage w smoked bacon-bits",308,53.5,13,26.6,1.5,2.5,0,0.1," Meat"
"Ham lean boiled",134,69.7,18,5.7,0.4,2.1,0,0.1," Meat"
"Ham shoulder medium fat boiled",133,72.6,16.4,6.2,0.6,1.9,0,0.4," Meat"
"Sausage incl liver products av",335,48.8,15.1,29.4,0.7,1.7,0,0.3," Meat"
"Beef steak tartare spiced filet americain",240,59.4,14.2,18.8,1.3,1.7,0,0.9," Meat"
"Processed meat products >30 g fat av",374,43.9,15.7,33.4,0.9,1.4,0,0.5," Meat"
"Salami",392,41.9,18.7,34.8,0.8,0.1,0,0," Meat"
"Meatloaf (processed meat product)",304,54.5,12.8,25.6,2,3.6,0,0.3," Meat"
"Sausage cooked",357,49.1,11.3,33,1.1,2.6,0,0," Meat"
"Processed meat products 20-30 g fat av",308,53.3,13.2,26.8,0.7,2.4,0,0.2," Meat"
"Processed meat products 10-20 g fat av",203,63.4,15.6,14.3,0.5,2.5,0,0.1," Meat"
"Processed meat products <10 g fat av",152,68.6,17.9,7.7,0.8,1.6,0,0.3," Meat"
"Liver sausage coarse hausmacher",266,56,15.4,20.4,1,4.2,0,0," Meat"
"Liver pate sausage",319,53.7,12.3,28.6,0.2,2.8,0,0.3," Meat"
"Sausage dry sucuk Turkish",446,35.4,20.4,37.5,0,6.7,0,0," Meat"
"Sausage dry salam Turkish",271,58.1,14.8,20.6,0,6.5,0,0," Meat"
"Liver pate/Berliner liver sausage",319,51.9,12.3,27.6,0.3,4.2,0,0.2," Meat"
"Pork fricandeau fried (processed meat product)",117,71.5,21.6,2.8,1.3,0,0,0.4," Meat"
"Brawn, pork pickled in vinegar",264,60.1,12.5,23,0,1.7,0,0," Meat"
"Sausage tongue",247,58.7,17.2,18.8,2,0,0,0.1," Meat"
"Bacon rasher streaky grilled",261,57.9,15.2,22.1,0.5,0,0,0," Meat"
"Ham lean grilled",119,71.6,18.9,3.9,1.8,0,0,0.1," Meat"
"Gammon boiled deboned",127,71.1,18.3,5,1.2,1,0,0.1," Meat"
"Processed meat prod excl liver av",225,60.7,16.6,16.4,0.8,1.7,0,0.3," Meat"
"Processed meat prod <10 g fat excl liver av",135,70.4,18.6,5.6,0.7,1.5,0,0.2," Meat"
"Sausage excl liver products av",342,47.6,15.5,30,0.8,1.5,0,0.3," Meat"
"Processed meat prod 20-30 g fat excl liver av",305,53.3,13,26.4,1.1,2.5,0,0.2," Meat"
"Processed meat prod >30 g fat excl liver av",375,43.5,16.6,33.4,0.8,1.1,0,0.4," Meat"
"Sausage cooked lean",221,65.9,14,17,1,2,0,0.1," Meat"
"Salami sausage saveloy lean",241,56.5,23,16.5,0.1,0,0,0," Meat"
"Sausage luncheon meat lean",163,68,11.6,10.1,5.1,1.3,0,0," Meat"
"Pate spreadable lean",187,65.6,9.7,12,1.3,8.7,0,0.3," Meat"
"Chicken (processed meat product)",125,71.6,17.5,4.4,1,2.4,0,0," Meat"
"Sausage raw beef",166,65.5,18.6,9.4,0.4,0.8,0,1.2," Meat"
"Sausage grill w cheese",331,53.9,14.3,29.3,0.5,2.2,0,0," Meat"
"Beef smoke-dried lightly salted",116,74,22.8,2.5,0.6,0.1,0,0," Meat"
"Horse meat smoked",103,71.2,21.7,1.4,0.9,0,0,0," Meat"
"Sausage Chorizo",358,37.4,20.7,29.1,3,0.4,0,0," Meat"
"Sausage grill",310,53.3,13.2,27.2,0.7,2.3,0,0," Meat"
"Turkey (processed meat product)",113,71.3,19.8,2.4,3.2,0,0,0," Meat"
"Bacon smoked Katenspek",309,54.7,14,27.6,1.2,0,0,0," Meat"
"Processed meat prod 10-20 g fat excl liver av",204,63.3,15.8,14.4,0.5,2.3,0,0.1," Meat"
"Beef salted dried seasoned Pastirma Turkish",155,65,30,3,2,0,0,0," Meat"
"Sausage grill chicken",209,66.5,13.8,15,1.1,3.4,0,0.3," Meat"
"Processed meat products low sodium",179,67.2,16.1,11.1,1.5,2,0,0.2," Meat"
"Roastbeef",156,71,27.2,5.1,0.2,0.1,0,0," Meat"
"Pork rolled (processed meat product)",129,71,19.7,5.1,0.8,0.3,0,0.1," Meat"
"Sausage dried metworst",484,31.8,22.3,42.5,1.4,1.3,0,0.8," Meat"
"Mussels boiled",125,70.7,17.2,3.1,0,7.2,0,0,"Fish"
"Eel raw",372,50.9,14,35.1,0,0,0,0,"Fish"
"Herring raw",199,65,16,15,0,0,0,0,"Fish"
"Fish lean 0-5 g fat raw av",90,78.8,19.3,1.5,0,0,0,0,"Fish"
"Fish fat >5 g fat raw av",242,61.6,17.2,19.1,0,0.3,0,0,"Fish"
"Kipper smoked",242,55.6,20.8,17.5,0.3,0,0,0,"Fish"
"Shrimps Dutch boiled",94,75.9,19.8,1.6,0.1,0,0,0,"Fish"
"Herring fillet in tomato sauce tinned",201,67.4,12,14.6,4.5,0.9,0,0.5,"Fish"
"Herring salted",172,66.5,17.6,10.1,0,2.8,0,0,"Fish"
"Crab in water tinned",85,79.2,18.1,1.4,0,0,0,0,"Fish"
"Lobster boiled",86,80.7,19.7,0.8,0,0,0,0,"Fish"
"Mackerel raw",233,61.9,18,17.9,0,0,0,0,"Fish"
"Oysters",57,84.7,6,1.9,0,4,0,0,"Fish"
"Sardines/pilchards in oil tinned",231,62.3,21.7,16,0,0,0,0,"Fish"
"Liver haddock tinned",409,44.4,7,42.3,0,0,0,0,"Fish"
"Stockfish soaked",138,66.6,32.5,0.9,0,0,0,0,"Fish"
"Salmon tinned",146,70,20.4,7.2,0,0,0,0,"Fish"
"Eel smoked",351,48.3,19.1,30.5,0,0,0,0,"Fish"
"Mackerel steamed",315,52.3,19.5,26.1,0,0.5,0,0,"Fish"
"Shrimps salted dried",274,34,63,2,0,1,0,0,"Fish"
"Cod dried salted",355,12,82,3,0,0,0,0,"Fish"
"Plaice raw",76,80.4,16.4,1.2,0,0,0,0,"Fish"
"Fish fingers fried in sunflower oil",239,53.8,16.4,13,1,13,0,0.4,"Fish"
"Fish fingers unprepared",194,61.1,13,8,0.5,16.5,0,0.8,"Fish"
"Plaice fried",194,62.7,22,10.9,0,2,0,0,"Fish"
"White fish fillet in batter deep-fried in vegetable oil",210,61.4,19,11.2,0.3,7.9,0,0.2,"Fish"
"Cod boiled",105,76,23,1,0,1,0,0,"Fish"
"Cod raw",75,81.6,17.5,0.6,0,0,0,0,"Fish"
"Bloater fried",299,53.1,21.6,22.2,0.2,2.8,0,0.1,"Fish"
"Plaice boiled",98,79,19,2,0,1,0,0,"Fish"
"Pollock (Atlantic) boiled",114,74.9,25,1.5,0,0,0,0,"Fish"
"Salmon smoked",188,62.6,21.8,10.8,0,0.8,0,0,"Fish"
"Caviar",281,50.2,24,20.5,0,0,0,0,"Fish"
"Squid raw",73,81,16,1,0,0,0,0,"Fish"
"Herring pickled (sweet)sour",208,67.8,16,16,0,0,0,0,"Fish"
"Snails",85,79,16,1.4,0,2,0,0,"Fish"
"Mackerel in water tinned",257,59.8,18.6,20.3,0,0,0,0,"Fish"
"Plaice fillet fried/simmered",112,76.7,18.9,3.8,0,0.5,0,0,"Fish"
"Cod fillet fried/simmered",118,74.5,21.5,3.3,0,0.6,0,0,"Fish"
"Mussels fried in vegetable oil",268,54.8,17.2,19,0,7.2,0,0,"Fish"
"Squid rings deep-fried in vegetable oil",440,27,26.2,31.1,2.1,11.7,0,0.2,"Fish"
"Halibut smoked",211,65.8,19.4,14.8,0,0,0,0,"Fish"
"Mackerel fillet smoked",301,50.9,21.1,24.1,0,0,0,0,"Fish"
"Salmon farmed raw",179,67.9,20,11,0,0,0,0,"Fish"
